code,name
BEP-ENG/RE,Bachelor in Education Primary (ENG/RE)
BEP-ENG/SST,Bachelor in Education Primary (ENG/SST)
BEP-MTC/SCIE,Bachelor in Education Primary (MTC/SCIE)
BEP-MTC/AGRIC,Bachelor in Education Primary (MTC/AGRIC)
DEP-ENG/RE,Diploma in Education Primary (ENG/RE)
DEP-ENG/SST,Diploma in Education Primary (ENG/SST)
DEP-MTC/SCIE,Diploma in Education Primary (MTC/SCIE)
DEP-MTC/AGRIC,Diploma in Education Primary (MTC/AGRIC)
DEP-ECD,DIPLOMA IN EDUCATION –PRIMARY -EARLY CHILDHOOD
DNT,DIPLOMA IN NURSERY TEACHING
CECE,CERTIFICATE IN EARLY CHILDHOOD EDUCATION
CNT,CERTIFICATE IN NURSEY TEACHING
